id;rentrak;cinema;salas;circuito;cidade;estado;regiao;endereco
214;63795;694 Campo Grande 10;10;CNMK;Campo Grande;MS;SAO PAULO;Av Nacoes Unidas 22540
215;1027178;2108 Goiabeiras 7;7;CNMK;Cuiabá;MT;SAO PAULO;Av Sao Joao 2200
216;1027034;2107 Cmk Riomar Recife 12;12;CNMK;Recife;PE;SAO PAULO;Avenida Doutor Francisco Mesquita, 1000 - Vila Prudente
217;64784;700 Parkshop Barigui 8;8;CNMK;Curitiba;PR;SAO PAULO;Av. Dr. Chucri Zaidan, 902
218;64816;698 Muller 8;8;CNMK;Curitiba;PR;SAO PAULO;Alexandre Martins 80
219;65579;894 Sj Dos Pinhais 5;5;CNMK;São José dos Pinhais;PR;SAO PAULO;Av. das Nações Unidas, 4777 - Alto de Pinheiros
220;1031261;2104 Londrina 7;7;CNMK;Londrina;PR;RIO DE JANEIRO;Praia de Botafogo 400
221;1060606;2129 Cinemark Foz do Iguaçu 6;6;CNMK;Foz do Iguaçu;PR;RIO DE JANEIRO;Avenida Vicente de Carvalho, 909
222;64032;719 Downtown Barra 12;12;CNMK;Rio de Janeiro;RJ;SAO PAULO;Av Domingos De Moraes 2564
223;64498;728 Botafogo 6;6;CNMK;Rio de Janeiro;RJ;SAO PAULO;Av Iguatemi 777
224;64514;692 Carioca Shopping 6;6;CNMK;Rio de Janeiro;RJ;SAO PAULO;Barao De Jacarei, 354 Centro
225;64836;691 Cmk Niteroi 8;8;CNMK;Niteroi;RJ;SAO PAULO;Travessa Casalbuono, 120 - Vila Guilherme
226;1010719;2106 Village Mall 4;4;CNMK;Rio de Janeiro;RJ;RIO DE JANEIRO;Rua  XV De Novembro, 8 Loja 33
227;1042341;2112 Metropolitano Barra 7;7;CNMK;Rio de Janeiro;RJ;MINAS GERAIS;Av  Do Contorno 6061 3 Andar Lj 337
228;1052213;2118 Jacarepagua 4;4;CNMK;Rio de Janeiro;RJ;SAO PAULO;Avenida Brigadeiro Faria Lima, 2232, Pinheiros
229;1072228;2136 São Gonçalo 6;6;CNMK;São Gonçalo;RJ;SAO PAULO;Av Reboucas 3970
230;64970;681 Cmkb Natal 7;7;CNMK;Natal;RN;SAO PAULO;Rua Gonçalves Crespo, 78
231;1052667;2123 Roraima 4;4;CNMK;Boa Vista;RR;ESPIRITO SANTO;Rua José Alexandre Buaiz, 200
232;64125;693 Canoas Cinemark 7;7;CNMK;Canoas;RS;SAO PAULO;Av  Magalhães De Castro 12100
233;64127;695 Ipiranga 8;6;CNMK;Porto Alegre;RS;SAO PAULO;Rua Treze De Maio - Paraiso
234;65578;704 Barra Sul 8;8;CNMK;Porto Alegre;RS;SAO PAULO;Rodovia Presidente Dutra, 230
235;1072221;2134 Novo Hamburgo 5;5;CNMK;Novo Hamburgo;RS;MATO GROSSO DO SUL;Avenida Afonso Pena, 4909 - Santa Fé
236;1072236;2135 Wallig Porto Alegre 8;8;CNMK;Porto Alegre;RS;DISTRITO FEDERAL;Qs 1 Rua 210 Taguatinga
237;65052;703 Florianopolis 7;7;CNMK;Florianopolis;SC;DISTRITO FEDERAL;Pier 21, SCES, Trecho 2, Conjunto 32
238;1052218;2121 Lages 4;4;CNMK;Lages;SC;GOIAS;Av. Jamel Cecilio, 3300, Luc T-120
239;63683;706 Aracaju Shop. Jardins 9;9;CNMK;Aracaju;SE;RIO GRANDE DO SUL;Av Guilherme Schell 6750
240;65598;755 Shopping Riomar 7;7;CNMK;Aracaju;SE;RIO GRANDE DO SUL;Av  Ipiranga 5200 Loja - 201
241;64220;717 Tambore 9;9;CNMK;Barueri;SP;PARANA;Rua Pedro Viriato Parigot De Souza
242;64274;726 Novo Shopping 9;9;CNMK;Ribeirão Preto;SP;PARANA;Av  Candido De Abreu 127
243;64320;724 Extra Anchieta 9;9;CNMK;São Bernardo do Campo;SP;SANTA CATARINA;Rod Virgilio Varzea 587
244;64322;716 Aricanduva 13;13;CNMK;Sao Paulo;SP;RIO GRANDE DO SUL;Avenida Diario de Noticias, 300 - Loja 1
245;64341;714 Interlagos Shop 10;10;CNMK;Sao Paulo;SP;PARANA;Rua Voluntarios da Patria, 170
246;64353;711 Metro Tatuape 8;8;CNMK;Sao Paulo;SP;DISTRITO FEDERAL  ;Ca 4 - Lago Norte
247;64365;721 Patio Higienopolis 6;6;CNMK;Sao Paulo;SP;SAO PAULO  ;Avenida dos Autonomistas, 1400 - Ancora
248;64494;687 Shopping D 10;10;CNMK;Sao Paulo;SP;SAO PAULO;Rod Raposo Tavares, 23600 - Cotia
249;64382;713 Grand Plaza 10;10;CNMK;Santo Andre;SP;TOCANTINS;Av. Juscelino Kubitschek s/n
250;64384;696 Center Vale 6;6;CNMK;São Jose dos Campos;SP;SAO PAULO;Rod. Raposo Tavares s/n, Km 14.5
251;64387;710 Sp Market 11;11;CNMK;Sao Paulo;SP;SAO PAULO;Alameda Terracotta, 545, Area Ceramics
252;64388;712 Colinas 8;8;CNMK;São Jose dos Campos;SP;SAO PAULO;Rua Capitao Pacheco e Chaves
253;64394;705 Central Plaza 10;10;CNMK;Sao Paulo;SP;MINAS GERAIS;Avenida Paulo Gracindo, 15,
254;64495;688 Market Place 8;8;CNMK;Sao Paulo;SP;RIO DE JANEIRO;Av Das Americas 3900
255;64496;709 Praiamar 10;10;CNMK;Santos;SP;PERNAMBUCO;AV Republica do Libano, S/N Lj 4001
256;64497;727 Villa Lobos 7;7;CNMK;Sao Paulo;SP;MATO GROSSO ;Av. J M de Figueiredo 500
257;64594;684 Metro Santa Cruz 11;9;CNMK;Sao Paulo;SP;SAO PAULO;Av. Dom Pedro I, 7181
258;64601;725 Iguatemi Campinas 11;11;CNMK;Campinas;SP;SAO PAULO;Av Dr Antonio Maria Laet 566
259;64802;689 Jacarei 5;5;CNMK;Jacarei;SP;PARANA;Av. Theodoro Victorelli, 150
260;64817;699 Center Norte 5;5;CNMK;Sao Paulo;SP;GOIAS;AV Perimentral Norte 8303
261;64938;2132 Iguatemi 6;6;CNMK;Sao Paulo;SP;SAO PAULO;Av. Kennedy, 700
262;65024;715 Eldorado 9;9;CNMK;Sao Paulo;SP;SAO PAULO;Rua Giovanni Battista Pirelli, 15
263;65053;690 Boulevard Tatuape 5;5;CNMK;Sao Paulo;SP;MINAS GERAIS;Rod Br-381 Fernao Dias Km 492.601
264;65543;682 Cidade Jardim 7;7;CNMK;Sao Paulo;SP;RIO DE JANEIRO;Av. Embaixador Abelardo Bueno, 1300
265;65608;723 Patio Paulista 7;7;CNMK;Sao Paulo;SP;ESPIRITO SANTO;Rua Luciano das neves n° 2418
266;65620;759 Guarulhos 15;15;CNMK;Guarulhos;SP;SAO PAULO;Av. Raimundo Pereira de Magalhaes 1465
267;65645;757 Cinemark Uniao Osasco 10;10;CNMK;Osasco;SP;SÃO PAULO;Av. Otto Baumgart, 500
268;65691;663 Shopping Granja Vianna 5;5;CNMK;Cotia;SP;SAO PAULO;Av Paulista 1230
269;998437;662 Raposo Tavares 7;7;CNMK;Sao Paulo;SP;RIO DE JANEIRO;Av Geremario Dantas 404
270;1000640;2100 Park Shopping Sao Caetano 7;7;CNMK;São Caetano do Sul;SP;SANTA CATARINA;Rodovia Br-282
271;1000668;2103 Mooca Plaza Shopping 6;6;CNMK;Sao Paulo;SP;SAO PAULO;Av Narciso Yague Guimaraes, 1001
272;1029258;2105 Via Vale 6;6;CNMK;Taubate;SP;RORAIMA;Avenida Glaycon de Paiva, 160
273;1030118;758 Tucuruvi 6;6;CNMK;Sao Paulo;SP;MINAS GERAIS;Rua Humberto Pizzo, 999
274;1033065;2109 Golden Square Sao Bernardo 5;5;CNMK;São Bernardo do Campo;SP;BAHIA;Rodovia Lomato Júnior km06
275;1033896;2115 Atrium 7;7;CNMK;Santo Andre;SP;PARANA;Av. Das Cataratas 3570
276;1049685;2110 Tietê Plaza Shopping 7;7;CNMK;Sao Paulo;SP;BAHIA;BVD Shopping Camacaari, S/N
277;1050336;2114 Lar Center 3;3;CNMK;Sao Paulo;SP;SAO PAULO;Rodovia Alkindar Monteiro Junqueira, 1013
278;1050737;2119 Cidade de São Paulo 6;6;CNMK;Sao Paulo;SP;SAO PAULO;Av Antartica 408
279;1052523;2120 Mogi 7;7;CNMK;Mogi das Cruzes;SP;RIO GRANDE DO SUL;Av. das Nacoes Unidas, 2001
280;1063129;2128 Bragança 4;4;CNMK;Bragança;SP;RIO DE JANEIRO;Rua Presidente Kennedy 425
281;1066816;2102 West Plaza 7;7;CNMK;Sao Paulo;SP;RIO GRANDE DO SUL;Av. Assis Brasil 2611/401
282;1082092;2140 Mogi Guaçu 4 ;4;CNMK;Mogi Guaçu;SP;SAO PAULO;Rua Princesa Isabel, 88
283;997404;661 Capim Dourado 6;6;CNMK;Palmas;TO;BAHIA;Av Asis Maron S/n Praca Shopping
284;1031499;Cinépolis Ponta Negra 10;10;CNPL;Manaus;AM;SAO PAULO;R. São José, 933 - Setor Central
285;1041480;Cinepolis Manaus Plaza 8;8;CNPL;Manaus;AM;PARÁ;Av. Visconde Souza Franco, 776 Lj. 501
286;1041489;Cinepolis Millenium 8;8;CNPL;Manaus;AM;SAO PAULO;Rua Amador Beuno 219
287;1052427;Cinepolis Amapá Garden 8;8;CNPL;Macapá;AP;BAHIA;Rod. BA-526, 305
288;65687;Cinépolis Salvador Norte 8;8;CNPL;Salvador;BA;RIO DE JANEIRO;Avenida Borges de Medeiros, 1424
289;1006650;Cinépolis Bela Vista 9;9;CNPL;Salvador;BA;SAO PAULO;Alameda Rio Negro, 111 Alphaville
290;1033947;Cinépolis North Shopping Jóquei 5;5;CNPL;Fortaleza;CE;SANTA CATARINA;Rod. BR 470 s/n
291;1045075;Cinépolis RioMar Fortaleza 10;10;CNPL;Fortaleza;CE;SAO PAULO;Av. José Pinheiro Borges - Itaquera
292;1062778;Cinépolis RioMar Kennedy 6;6;CNPL;Fortaleza;CE;SAO PAULO;Rua Jacy Teixeira Camargo, 940 Jd Lago
293;1044075;Cinépolis Moxuara 5;5;CNPL;Cariacica;ES;MARANHAO;Av Euclides Figueiredo 1000
294;1059544;Cinepolis Cerrado 7;7;CNPL;Goiânia;GO;PERNAMBUCO;Av  Barratos De Manezes 800
295;998577;Cinépolis São Luis Shopping 10;10;CNPL;São Luís;MA;PARAIBA;Av Flavio Ribeiro Coutinho 805
296;1009150;Cinepolis Estacao BH 6;6;CNPL;Belo Horizonte;MG;RIO DE JANEIRO;R. Barão de São Gonçalo, 100 - Neves
297;1041408;Cinepolis Uberlandia 10;10;CNPL;Uberlândia;MG;RIO GRANDE DO SUL;Av. Rio Branco 425
298;1000688;Cinépolis Norte Sul Plaza 7;7;CNPL;Campo Grande;MS;MATO GROSSO DO SUL;Av. Presidente Ernesto Geisel 2300
299;1082837;Cinepolis Três Lagoas 4;4;CNPL;Três Lagoas;MS;PARÁ;Rod. Augusto Montenegro, 4300, Lj.2026
300;1041450;Cinepolis Três Américas 8;8;CNPL;Cuiabá;MT;SAO PAULO;Av. Juscelino Kubitschek 2041 Vila Olimp
301;1075176;Cinépolis Shopping Estação Cuiaba 7;7;CNPL;Cuiabá;MT;BAHIA;Av. dos rodoviários
302;65674;Cinépolis Boulevard Belem 7;7;CNPL;Belem;PA;SAO PAULO;Rua Gral. Div. Pedro Rodriguez 400
303;1006633;Cinépolis Parque Belem 7;7;CNPL;Belem;PA;MINAS GERAIS;Av. Cristiano Machado 11833
304;998607;Cinépolis Manaira Shopping 11;11;CNPL;João Pessoa;PB;SANTA CATARINA;Rodovia BR 101 – KM210 – s/n – área 1
305;1056681;Cinepolis Mangabeira 5;5;CNPL;João Pessoa;PB;SAO PAULO;Av Nove de Julho, 3333
306;998589;Cinépolis Shopping Guararapes 12;12;CNPL;Jaboatão dos Guararapes;PE;SAO PAULO;Av. Rotary 624
307;1073119;Cinepolis Patteo Olinda 8;8;CNPL;Olinda;PE;AMAZONAS;Av. Coronel Teixeira, 5705
308;1055616;Cinépolis Rio Poty 12;12;CNPL;Teresina;PI;SAO PAULO;Av Luiz Eduardo de Toledo Prado, 900
309;1033690;Cinepolis Patio Batel 8;8;CNPL;Curitiba;PR;RIO GRANDE DO NORTE;Av Senador Salgado Filho, 2234
310;1079385;Cinépolis Jockey Plaza Curitiba 8 ;8;CNPL;Curitiba;PR;RIO GRANDE DO NORTE;Av Doutor Medeiros Filho, 2395
311;65696;Cinépolis Lagoon 6 3D;6;CNPL;Rio de Janeiro;RJ;SAO PAULO;Rua Gral Marcondes Salgado 11
312;998616;Cinépolis São Gonçalo Shop. 8;8;CNPL;São Gonçalo;RJ;PARANA;Av. do Batel, 1868
313;1075495;Cinepolis Rio Design Barra 3;3;CNPL;Rio de Janeiro;RJ;SAO PAULO;Av. Gisele Constantino, s/n
314;1032984;Cinépolis Natal Shopping 8;8;CNPL;Natal;RN;CEARÁ;Av Lineu Machado, 419
315;1032987;Cinépolis Natal Norte 6;6;CNPL;Natal;RN;MINAS GERAIS;Av. João Naves de Ávila, 1331 Loja 310
316;1000681;Cinépolis San Pelegrino 6;6;CNPL;Caxias do Sul;RS;MATO GROSSO;Av. Brasília 177
317;1067872;Cinepolis Santa Maria 5;5;CNPL;Santa Maria;RS;AMAZONAS;Av. Djalma Batista, 2100 - Chapada
318;1070637;Cinépolis JP Porto Alegre 4;4;CNPL;Porto Alegre;RS;AMAZONAS;Av Djalma Batista 1661 G3 Chapada
319;997531;Cinépolis Blumenau Norte Shopping 7;7;CNPL;Blumenau;SC;SAO PAULO;Av. José Munia, 4775
320;1010307;Cinépolis Continente Park 8;8;CNPL;São José;SC;SAO PAULO;Presidente Juscelino Kubitschek de Oliveira, 5000
321;65653;Cinépolis Santa Ursula 8;8;CNPL;Ribeirão Preto;SP;SAO PAULO;Rua Tucunares 500 Sala 93
322;65683;Cinépolis Shopping Largo 13 8;8;CNPL;Sao Paulo;SP;ESPIRITO SANTO;Rodovia BR 262, 6.555
323;65727;Cinépolis Iguatemi Alphaville 9;9;CNPL;Barueri;SP;CEARÁ;Rua Desembargador Lauro Nogueira 1355
324;998557;Cinépolis Metro Itaquera 8;8;CNPL;Sao Paulo;SP;SAO PAULO;Bartholomeu de Carlos 230
325;998566;Cinépolis Campinas Shopping 10;10;CNPL;Campinas;SP;AMAPA;Rodovia Juscelino Kubstchek de Oliveira, 2141
326;1006641;Cinépolis JK Iguatemi 8;8;CNPL;Sao Paulo;SP;PIAUI;Av. Marechal Castelo Branco, 911
327;1007138;Cinépolis Parque Barueri 9;9;CNPL;Barueri;SP;PARAIBA;Avenida Hilton Souto Maior, 3.901
328;1010517;Cinepolis Jundiai Shopping 10;10;CNPL;Jundiai;SP;GOIAS;Av anhanguera 10790
329;1031285;Cinépolis São Bernardo 8;8;CNPL;São Bernardo do Campo;SP;CEARÁ;Av Sargento Herminio Sampaio 3100
330;1032082;Cinépolis Iguatemi Ribeirão Preto 6;6;CNPL;Ribeirão Preto;SP;SAO PAULO;Est Ernestina Vieira, 149
331;1033165;Cinépolis Nações Bauru 6;6;CNPL;Bauru;SP;SAO PAULO;Estrada do Mandi, 1205
332;1033699;Cinépolis Iguatemi Esplanada 10;10;CNPL;Sorocaba;SP;RIO GRANDE DO SUL;Rua Irma Dulce, 550 - Lojas 1049 – GLEBA 2A – Bairro Renascença
333;1041542;Cinepolis Plaza Avenida 7;7;CNPL;São José do Rio Preto;SP;RIO GRANDE DO SUL;Av. João Pessoa 1831
334;1041792;Cinépolis Iguatemi Rio Preto 7;7;CNPL;São José do Rio Preto;SP;PERNAMBUCO;R. Eduardo de Moraes s/n
335;1042031;Cinepolis Marilia 5;5;CNPL;Marilia;SP;MATO GROSSO;Av Miguel Sutil 9300
336;1050302;Cinépolis Parque Shopp Maia 11;11;CNPL;Guarulhos;SP;RIO DE JANEIRO;Avenida da Américas 7777
337;1062785;Cinépolis Plaza Shopp Carapicuíba 5;5;CNPL;Carapicuíba;SP;SAO PAULO;Av. Selma Parada Bailarina 505
338;1065616;Cinépolis Itaquá Garden 5;5;CNPL;Itaquaquecetuba;SP;PARANA;Av. Victor Ferreira do Amaral 2633
339;1079074;Cinépolis Galleria Shopping 5;5;CNPL;Campinas;SP;SAO PAULO;Rua Cardoso Ribeiro 970
340;1079503;Cinépolis Ourinhos 4;4;CNPL;Ourinhos;SP;SAO PAULO;Rua Andorra 500
341;1079580;Cinépolis Jardim Oriente 7;7;CNPL;São José dos Campos;SP;SAO PAULO;Rua Pamplona 1704  Jardim Paulista
342;1082167;Cinépolis Jardim Pamplona 5 ;5;CNPL;Sao Paulo ;SP;MATO GROSSO DO SUL;BR-158, 163
343;64050;Cine Show Nova Friburgo 3;3;CSHW;Nova Friburgo;RJ;RIO DE JANEIRO;Pca Pres Getulio Vargas 139-3 Pav
344;64076;Shopping Volta Redonda 4;4;CSHW;Volta Redonda;RJ;RIO DE JANEIRO;R. Doze, 300 - Vila Santa Cecília
345;64571;Resende Shopping 2;2;CSHW;Resende;RJ;RIO DE JANEIRO;Avenida Saturnino Braga, 369
346;64772;Cine Show Barra Mansa 2;2;CSHW;Barra Mansa;RJ;RIO DE JANEIRO;Avenida Joaquim Leite, 577
347;64992;Cine Show Teresopolis 3;3;CSHW;Teresopolis;RJ;RIO DE JANEIRO;Rua Edmundo Bittencourt, 101
348;1004112;Cine Show Angra dos Reis 4;4;CSHW;Angra dos Reis;RJ;RIO DE JANEIRO;Estrada Municipal 200
349;1004217;Cine Show Barra do Pirai 2;2;CSHW;Barra do Pirai;RJ;RIO DE JANEIRO;Rua: Coronel Carlos Araujo 60
350;1010512;Cine Show Agulhas Negras 2;2;CSHW;Resende;RJ;RIO DE JANERIO;Abel Rodriguez Ponte 67
351;1039979;Cine Show Cadima 3;3;CSHW;Nova Friburgo;RJ;RIO DE JANEIRO;Rua Moisés Amélio 17
352;1045137;Cine Show Tres Rios 3;3;CSHW;Três Rios;RJ;RIO DE JANEIRO;Barao do Rio Branco 303
353;1079950;Cine Show Macae 5;5;CSHW;Macae;RJ;SANTA CATARINA;Av Marcolino Martins Cabral 2525
354;1061610;Cine Show Farol 4;4;CSHW;Tubarão;SC;SANTA CATARINA;Rua Bocaiuva, 2468
355;1067927;Cine Show Beiramar 5;5;CSHW;Florianopolis;SC;RIO DE JANEIRO;Rua Bento Pessanha 800
356;65586;Espaço Itaú de Cinema Salvador 4;4;ESPA;Salvador;BA;BAHIA;Praca Castro Alves S/n Centro
357;1003696;Espaço Itaú de Cinema Brasilia 9;9;ESPA;Brasilia;DF;SAO PAULO;Rua Augusta, 1475
358;64852;Espaço Itaú de Cinema Curitiba 5;5;ESPA;Curitiba;PR;SAO PAULO;Rua Frei Caneca, 569
359;64896;Espaço Itaú de Cinema Botafogo 6;6;ESPA;Rio de Janeiro;RJ;SAO PAULO;Rua Fradique Coutinho, 361
360;64659;Espaço Itaú de Cinema Porto Alegre 8;8;ESPA;Porto Alegre;RS;RIO DE JANEIRO;Praia de Botafogo, 316
361;64319;Espaço Itaú de Cinema Augusta 5;5;ESPA;Sao Paulo;SP;SAO PAULO;Rua Turiassu 2100
362;64549;Espaço Itaú de Cinema Frei Caneca 9;9;ESPA;Sao Paulo;SP;RIO GRANDE DO SUL;Rua Tulio De Rose, 80  Passo Da Areia
363;64591;CineSala1;1;ESPA;Sao Paulo;SP;PARANA;Rua Comendador Araújo, 731, Curitiba
364;65537;Espaço Itaú de Cinema Pompeia 11;11;ESPA;Sao Paulo;SP;DISTRITO FEDERAL;Shopping Casa Park  SGCV Sul - Lote 22
365;63970;Estação NET Botafogo 3;3;ESTA;Rio de Janeiro;RJ;RIO DE JANEIRO;Rua Voluntarios Da Patria, 88
366;64039;Estação NET Rio 5;5;ESTA;Rio de Janeiro;RJ;RIO DE JANEIRO;Rua Voluntários da Pátria, 35
367;64510;Estação NET Ipanema 2;2;ESTA;Rio de Janeiro;RJ;RIO DE JANEIRO;Rua Visconde de Pirajá, 605 
368;65515;Estação NET Gávea 5;5;ESTA;Rio de Janeiro;RJ;RIO DE JANEIRO;Rua Marques De Sao Vicente 52 4 Andar
369;64018;Candido Mendes 1;1;GCAS;Rio de Janeiro;RJ;RIO DE JANEIRO;Rua Joana Angélica, 63 Ipanema
370;64961;Santa Teresa 1;1;GCAS;Rio de Janeiro;RJ;RIO DE JANEIRO;Rua Paschoal C  Magno 136
371;1042475;Cine Museu da República 1;1;GCAS;Rio de Janeiro;RJ;RIO DE JANEIRO;Rua do Catete, 153
372;1072040;Barra Point 2;2;GCAS;Rio de Janeiro;RJ;RIO DE JANEIRO;Av. Armando Lombardi, 350
373;64075;GNC Iguatemi Caxias 6;6;GNC;Caxias do Sul;RS;RIO GRANDE DO SUL;Rodovia RSC 453, 2780, Km 3,5
374;64129;GNC Lindoia 2;2;GNC;Porto Alegre;RS;RIO GRANDE DO SUL;Av. Assis Brasil 3522
375;64133;GNC Praia De Belas 6;6;GNC;Porto Alegre;RS;RIO GRANDE DO SUL;Av. Praia de Belas, 1181
376;64541;GNC Moinhos 4;4;GNC;Porto Alegre;RS;SANTA CATARINA;Rua Visconde de Taunay, 235
377;65581;GNC Iguatemi 6;6;GNC;Porto Alegre;RS;SANTA CATARINA;Rua 7 De Setembro 1213
378;64150;GNC Mueller 3;3;GNC;Joinville;SC;RIO GRANDE DO SUL;Rua Olavo Barreto Viana, 36
379;64194;GNC Neumarkt 6;6;GNC;Blumenau;SC;SANTA CATARINA;Rua Santa Catarina, 1, Balneario Camboriú
380;65482;GNC Balneário Camboriu 8;8;GNC;Camboriu;SC;RIO GRANDE DO SUL;Av Joao Wallig, 1800
381;65650;GNC Garten 6;6;GNC;Joinville;SC;SANTA CATARINA;Av. Rolf Wiest 333
382;1059307;GNC Nações Criciúma 6;6;GNC;Criciúma;SC;SANTA CATARINA;Av. Jorge Elias de Lucca 677
383;1063818;Cine Gracher Pato Branco 3;3;GRAC;Pato Branco;PR;SANTA CATARINA;Av. Consul Carlos Renaux, 56
384;1065589;Cine Gracher Arapongas 3;3;GRAC;Arapongas;PR;SANTA CATARINA;Rodovia Antonio Heil, 200
385;64197;Cine Gracher 3;3;GRAC;Brusque;SC;SANTA CATARINA;Avenida dos Ferroviários, 1045
386;1033337;Cine Gracher Havan 3;3;GRAC;Brusque;SC;PARANA;Rod BR-158, 6000
387;1052556;Cine Gracher Porto União 3;3;GRAC;Porto União;SC;PARANA;Rod. BR 369,  s/n
388;1072256;Cine Gracher Indaial 4;4;GRAC;Indaial;SC;SANTA CATARINA;Rodovia BR 470, nº 2002
389;1073358;Cine Gracher Joaçaba 3;3;GRAC;Joaçaba;SC;SANTA CATARINA;Rua Adolfo Ziguelli 800
390;1074271;Cine Gracher Porto Belo 4;4;GRAC;Porto Belo;SC;SANTA CATARINA;Avenida Governador Celso Ramos, 800
391;1075695;Cine Gracher Havan São Bento 4;4;GRAC;São Bento do Sul;SC;SANTA CATARINA;Rodovia Deputado Genésio Tureck, 219
392;1080921;São Jose 2;2;GRUC;Jequié;BA;PARAIBA;Rua Doutor Pedro Firmino, 470
393;1087609;Amargosa 3;3;GRUC;Amargosa;BA;SAO PAULO;Rua Guanabara, 2919
394;1065953;Ibiapaba 2;2;GRUC;Tianguá;CE;SAO PAULO;Rua Monsenhor Soares 425
395;1078232;Maranguape 3;3;GRUC;Maranguape;CE;SANTA CATARINA;Av Dom Pedro Ii 35
396;1081090;Cine Eusebio 5;5;GRUC;Eusébio;CE;SANTA CATARINA;Rua 15 de Novembro, 303
397;1082666;Cine Inter Santa Ines 2;2;GRUC;Santa Ines;MA;SAO PAULO;Av Marechal Deodoro Da Fonseca
398;1067198;Sete Lagoas 4;4;GRUC;Sete Lagoas;MG;SANTA CATARINA;Rua Independencia 91
399;1057181;Aquidauana 1;1;GRUC;Aquidauana;MS;SAO PAULO;Avenida XV de Novembro, 89 - Centro
400;64860;Guedes 3;3;GRUC;Patos;PB;SAO PAULO;Av Literario Grecco 600
401;1061277;Cinemaxxi Cidade Luz 3;3;GRUC;Guarabira;PB;PERNAMBUCO;Av. Henrique de Holanda, 3000, Redenção
402;1074971;Cinemaxxi da Serra 1;1;GRUC;Solânea;PB;SANTA CATARINA;Av. Anita Garibaldi, 461
403;1043780;Vitória de Santo Antão 4;4;GRUC;Vitória de Santo Antão;PE;SAO PAULO;Jean Anastace Kovelis, 213
404;1081006;Cine Picos 3;3;GRUC;Picos;PI;MATO GROSSO DO SUL;Rua Oscar Tindade de Barros 1169
405;1064874;West Side 3;3;GRUC;Cascavel;PR;SAO PAULO;R. Paiquere, 200 - Jardim Paiquerê
406;65042;Videira 2;2;GRUC;Videira;SC;PARAIBA;Av. Otacilio Lira Cabral 1300
407;65049;Rio Do Sul 2;2;GRUC;Rio do Sul;SC;PARANA;Av. Brasil, 2962
408;1029245;Cine Concordia 1;1;GRUC;Concordia;SC;CEARÁ;rua Zeca Teles de Menezes 200 Tianguá
409;1045582;Fraiburgo 1;1;GRUC;Palhoça;SC;MINAS GERAIS;Av. Otavio Campelo Ribeiro 2801
410;64196;Andradina 4;4;GRUC;Andradina;SP;SAO PAULO;Rod Prefeito Joaquim Simao s/n
411;64251;Itapetininga 5;5;GRUC;Itapetininga;SP;PARAIBA;Rua Praça 26 de Novembo
412;1005377;Cine La Plage 3;3;GRUC;Guarujá;SP;CEARÁ;Rua Coronel Antonio Botelho de Sousa 254
413;1032231;Grupo Cine Itapecerica 4;4;GRUC;Itapecerica da Serra;SP;SAO PAULO;Alcides Ramos Nogueira, 650
414;1033119;Fernandopolis 2;2;GRUC;Fernandopolis;SP;SAO PAULO;Avenida Duque de Caxias 2225
415;1055095;Cajamar 3;3;GRUC;Cajamar;SP;BAHIA;Rua Brigadeiro Sá Bittencourt, 444
416;1059196;Valinhos 3;3;GRUC;Valinhos;SP;PIAUI;Av. Senador Elvidio Nunes 5233
417;1069108;Santa Isabel 2;2;GRUC;Santa Isabel;SP;CEARA;Av Eusebio de Queiroz 1890
418;1080315;Pindamonhangaba 4;4;GRUC;Pindamonhangaba;SP;MARANHAO;Av Marechal Castelo Branco 3912
419;1080891;Varzea Paulista 4;4;GRUC;Varzea Paulista;SP;BAHIA;Av Doutor Luis Sandes 100
420;1087616;Pacajus 4 (Temp Closed);4;GRUC;Pacajus;;CEARÁ;Av. Vice Prefeito Expedito Chaves Calvante 13
421;1062006;Reserva Cultural de Cinema Niterói 5;5;IMOV;Niteroi;RJ;SAO PAULO;Av  Paulista 900
422;64907;Reserva Cultural de Cinema 4;4;IMOV;Sao Paulo;SP;RIO DE JANEIRO;Av. Visconde do Rio Branco 880, São Domingos
423;65021;Cine Romeu 1;1;INBR;Cruzeiro do Sul;AC;RONDONIA;Av. Rio Branco 4966
424;1062556;Cine Teatro Recreio 1;1;INBR;Rio Branco;AC;RORAIMA;Av. Capitão Ene Garcez, 1883
425;63686;Cine Arte Pajucara 1;1;INBR;Maceió;AL;TOCANTINS;Avenida Conego Joao Lima 2037
426;1065443;Cine Kimak 2;2;INBR;Manacapuru;AM;RONDONIA;Av  Seis De Maio, 1126
427;1071657;Cine Casarão 1;1;INBR;Manaus;AM;ALAGOAS;Av Dr Antonio Gouveia 1113 Pajucara
428;1056760;Imperator Vila Nova 2;2;INBR;Macapá;AP;CEARA;Rua Major Facundo 500
429;1042005;Cine Hobby 2;2;INBR;Eunapolis;BA;PARAIBA;Av  Presidente Kennedy S/n
430;1078703;Cine Xtreme 1;1;INBR;Itamaraju;BA;PERNAMBUCO;Henrique Dias 609
431;63723;Cineteatro Sao Luiz 1;1;INBR;Fortaleza;CE;PIAUI;Av  Raul Lopes, 1000 Bairro Dos Noivos
432;64717;Renato Aragao 3;3;INBR;Sobral;CE;CEARA;Av. John Sanford, 1800
433;64551;Cinemas Benfica 4;4;INBR;Fortaleza;CE;CEARA;Av Carapinima 2200
