id;rentrak;cinema;salas;circuito;cidade;estado;regiao;endereco
53;1060562;Multiplex Boulevard Botucatu 3;3;ARAU;Botucatu;SP;RIO DE JANEIRO;Rod. Dos Metalurgicos, 1189
54;64529;Aldeota 3;3;ARCO;Fortaleza;CE;CEARA;Avenida Dom Luís, 500 - Aldeota
55;64610;Cinemas Del Paseo 2;2;ARCO;Fortaleza;CE;CEARA;Av. Santos Dumont, 3131 - Aldeota
56;64953;Arco Aguas Claras 4;4;ARCO;Brasilia;DF;SAO PAULO;Av  Francisco Matarazzo 205
57;64853;Arcoplex Cascavel 4;4;ARCO;Cascavel;PR;SAO PAULO;Rua Carlos Kuntz Busch, 800
58;64103;Arcoplex Lajeado 4;4;ARCO;Lajeado;RS;SAO PAULO;Rua Siqueira Campos 1545/88
59;64111;Bella Citta 2;2;ARCO;Passo Fundo;RS;DISTRITO FEDERAL;Avenida das Araucárias, 1835
60;64124;Arcoplex Shopping do Vale 4;4;ARCO;Cachoeirinha;RS;RIO GRANDE DO SUL;Br 386 Km 346
61;64428;Boulevard 2;2;ARCO;Porto Alegre;RS;RIO GRANDE DO SUL;Av. Coronel Chicuta, 355 
62;64586;Cine Art 4;4;ARCO;Pelotas;RS;RIO GRANDE DO SUL;Av  Flores Da Cunha 40001
63;64934;Rua Da Praia 2;2;ARCO;Porto Alegre;RS;SANTA CATARINA;Rua Geroncio Thives 1079
64;65592;Apm Ctro De Educacao Int 2;2;ARCO;Campo Bom;RS;SANTA CATARINA;Rua Samuel Heusi 234
65;65609;Arcoplex Royal Plaza 4;4;ARCO;Santa Maria;RS;SANTA CATARINA;Avenida Getúlio Vargas, 268
66;1058698;Torres 2;2;ARCO;Torres;RS;SANTA CATARINA;Av Chile 1455
67;1062128;Arcoplex Gravataí 5;5;ARCO;Gravataí;RS;SANTA CATARINA;Pc Dr Nereu Ramos, 364
68;64134;Arcoplex Itaguacu 5;5;ARCO;São José;SC;SANTA CATARINA;Av Brasil 1271
69;64140;Itajai 4;4;ARCO;Itajai;SC;RIO GRANDE DO SUL;Av Assis Brasil 4320
70;64142;Breitheupt 5;5;ARCO;Jaraguá do Sul;SC;RIO GRANDE DO SUL;Rua Andrade Neves, 1934 - Centro
71;64145;Criciúma Shopping 2;2;ARCO;Criciúma;SC;PARANA;Avenida Toledo, 432 - Centro, Cascavel
72;64146;Della Giustina 2;2;ARCO;Criciúma;SC;RIO GRANDE DO SUL;Rua dos Andradas, 985
73;64199;Atlantico 2;2;ARCO;Camboriu;SC;RIO GRANDE DO SUL;Rua 20 De Setembro 515
74;65655;Arcoplex Via Catarina 4;4;ARCO;Palhoça;SC;RIO GRANDE DO SUL;Av Nossa Senh  Dores, 305
75;65667;Cine Teatro Peperi 1;1;ARCO;São Miguel do Oeste;SC;SANTA CATARINA;Av, Atilio Pagani 270
76;1003784;Arcoplex Patio Chapeco 4;4;ARCO;Chapeco;SC;SANTA CATARINA;Rua Marques Herval s/n
77;1007020;Arcoplex Park Blumenau 5;5;ARCO;Blumenau;SC;SANTA CATARINA;Av. Fernando Machado 4000
78;1056364;Arcoplex Araranguá 2;2;ARCO;Araranguá;SC;SANTA CATARINA;Sete de Maio 933
79;64300;Arcoplex Rio Claro 5;5;ARCO;Rio Claro;SP;RIO GRANDE DO SUL;Rua Borges de Medeiros 275
80;64466;Patio Limeira 5;5;ARCO;Limeira;SP;SANTA CATARINA;Av. Sete de Setembro, 755
81;64530;Presidente Prudente 3;3;ARCO;Presidente Prudente;SP;RIO GRANDE DO SUL;Av Centenário, 555
82;64638;Saladearte Cinema da UFBA 1;1;BAHI;Salvador;BA;BAHIA;Rua Princesa Leopoldina 398 Alto Da Lapa
83;64687;Saladearte Cinema do Museu 1;1;BAHI;Salvador;BA;BAHIA;Av  Sete De Setembro, 2195
84;65006;Saladearte Mam 1;1;BAHI;Salvador;BA;BAHIA;Av Sete Do Contorno S/n(solar Do Uniao)
85;65624;Saladearte Cine Paseo 2;2;BAHI;Salvador;BA;BAHIA;Rua Rubens Guelli, 135
86;63704;Laguna 2;2;BOTE;Alagoinhas;BA;BAHIA;Rua Dantas Biao S/n
87;63718;Santa Clara 2;2;BOTE;Ilheus;BA;BAHIA;Av Soares Lopes 908
88;63721;Itaguari 2;2;BOTE;Santo Antônio de Jesus;BA;BAHIA;Av  Roberto Santos S/n
89;63725;Cinema Teixeira 2;2;BOTE;Teixeira de Freitas;BA;BAHIA;Rua Massanore Nagão, 281
90;64765;Cine Plaza 1;1;BOTE;Porto Seguro;BA;BAHIA;Trevo do Cabral 101 - Centro
91;1052359;Cine Teca 2;2;BOTE;Teófilo Otoni;MG;MINAS GERAIS;Av. Alfredo Sá,  2.221, Jardim das Acácias
92;1073195;Cine Itauna 1;1;BOTE;Caratinga;MG;MINAS GERAIS;R. Coronel Pedro Marins 23
93;1079171;Cine Alvorada 1;1;BOTE;Coronel Fabriciano;MG;MINAS GERAIS;Av. Geraldo Inácio 870
94;64479;Roxy Gonzaga 5;5;CAMP;Santos;SP;SAO PAULO;Av. Ana Costa, 443 - Gonzaga
95;65045;Roxy Brisamar 6;6;CAMP;São Vicente;SP;SAO PAULO;Rua Frei Gaspar 365 Centro
96;65635;Roxy Patio Iporanga 4;4;CAMP;Santos;SP;SAO PAULO;Av Ana Costa 465
97;1009675;Roxy Parque Anilinas 2;2;CAMP;Cubatao;SP;SAO PAULO;Av. Nove de Abril 2275 - 1°Piso- Centro
98;1078896;CineArt Cafe - Rio Verde 3;3;CARC;Rio Verde;GO;SAO PAULO;Colombo
99;1082136;CineArt Cafe - Mineiros 3;3;CARC;Mineiros;GO;SAO PAULO;Praca Da Independencia, 161 Centro
100;1005409;CineArt Cafe - Alfenas 3;3;CARC;Alfenas;MG;MINAS GERAIS;Rua Presidente Artur Bernardes 609
101;1005412;CineArt Cafe - Tres Coracoes 2;2;CARC;Três Corações;MG;MINAS GERAIS;Av Getulio Vargas 55 - Centro
102;1007093;CineArt Cafe - Pouso Alegre 3;3;CARC;Pouso Alegre;MG;MINAS GERAIS;R Cel Octavio Meyer 160 4°
103;1028978;CineArt Cafe - Lavras 2;2;CARC;Lavras;MG;MINAS GERAIS;Rua Antônio Gonçalves Faria - Lavras
104;1028981;CineArt Cafe - Sao Lourenco 2;2;CARC;São Lourenço;MG;MINAS GERAIS;Av Comendador Costa 289
105;1032156;CineArt Cafe S.S. de Paraiso 1;1;CARC;São Sebastião do Paraíso;MG;SAO PAULO;Rua Prudente Moraes, 40
106;1076442;CineArt Cafe - Itajuba 4;4;CARC;Itajubá;MG;SAO PAULO;Av. Dona Renata 4785
107;1045985;CineArt Cafe - Maraba 4;4;CARC;Marabá;PA;MINAS GERAIS;Rua Padre Benatti 1200, Centro
108;1074295;CineArt Cafe - Altamira 3;3;CARC;Altamira;PA;PARÁ;A Folha 27
